HMDB_ID;Name;Formula;Monoisotopic Molecular Weight (exact_mass);Average Molecular Weight
HMDB11953;Ganglioside GQ1c (d18:1/20:0);C109H187N5O55;2446.198955;2447.6516
HMDB11938;Ganglioside GQ1c (d18:0/20:0);C109H189N5O55;2448.214605;2449.6675
HMDB59603;Chlordecone;C10Cl10O;485.6834417;490.636
HMDB59573;Mirex;C10Cl12;539.6262325;545.543
HMDB06240;Demethylated antipyrine;C10H10N2O;174.079313;174.1992
HMDB29739;1H-Indole-3-acetamide;C10H10N2O;174.079313;174.1992
HMDB31173;6-Hydroxy-1H-indole-3-acetamide;C10H10N2O2;190.0742276;190.1986
HMDB60603;N-acetyl zonisamide;C10H10N2O4S;254.0361275;254.262
HMDB32414;2-Methyl-3 or 5 or 6-(furfurylthio)pyrazine (mixture of isomers);C10H10N2OS;206.0513836;206.264
HMDB36187;2-[(2-Furanylmethyl)thio]-6-methylpyrazine;C10H10N2OS;206.0513836;206.264
HMDB35175;2-Amino-1,6-dimethylfuro[3,2-e]imidazo[4,5-b]pyridine;C10H10N4O;202.085461;202.2126
HMDB14503;Sulfadiazine;C10H10N4O2S;250.0524463;250.277
HMDB61068;S-methylazathioprine;C10H10N7O2S;292.0616683;292.297
HMDB29602;4-Phenyl-2-butenal;C10H10O;146.0731649;146.1858
HMDB29640;3-(4-Methylphenyl)-2-propenal;C10H10O;146.0731649;146.1858
HMDB31566;2-Methyl-3-phenyl-2-propenal;C10H10O;146.0731649;146.1858
HMDB31617;Benzylideneacetone;C10H10O;146.0731649;146.1858
HMDB31619;2-Phenyl-2-butenal;C10H10O;146.0731649;146.1858
HMDB33176;2,3-Dimethylbenzofuran;C10H10O;146.0731649;146.1858
HMDB35925;4-(1-Methylethenyl)benzaldehyde;C10H10O;146.0731649;146.1858
HMDB59897;Benzofuran, 4,7-dimethyl-;C10H10O;146.0731649;146.1858
HMDB29714;4,5-Dihydro-1-benzoxepin-3(2H)-one;C10H10O2;162.0680796;162.1852
HMDB32611;3-(4-Methoxyphenyl)-2-propenal;C10H10O2;162.0680796;162.1852
HMDB33591;Safrole;C10H10O2;162.0680796;162.1852
HMDB33830;Cassiastearoptene;C10H10O2;162.0680796;162.1852
HMDB33833;Methyl cinnamate;C10H10O2;162.0680796;162.1852
HMDB38893;3,6-Dimethyl-2(3H)-benzofuranone;C10H10O2;162.0680796;162.1852
HMDB40577;Cinnamyl formate;C10H10O2;162.0680796;162.1852
HMDB40592;Allyl benzoate;C10H10O2;162.0680796;162.1852
HMDB60335;1,2-Dihydronaphthalene-1,2-diol;C10H10O2;162.0680796;162.1852
HMDB41503;Bis(2-furanylmethyl) sulfide;C10H10O2S;194.0401503;194.25
HMDB29988;Bis(2-furanylmethyl) disulfide;C10H10O2S2;226.0122209;226.315
HMDB32288;Furfuryl 2-methyl-3-furyl disulfide;C10H10O2S2;226.0122209;226.315
HMDB40201;3,3'-Dithiobis[2-methylfuran];C10H10O2S2;226.0122209;226.315
HMDB36168;Bis(2-methyl-3-furanyl)tetrasulfide;C10H10O2S4;289.9563623;290.445
HMDB02040;4-Methoxycinnamic acid;C10H10O3;178.0629942;178.1846
HMDB30903;3-(4-Methylphenyl)oxiranecarboxylic acid;C10H10O3;178.0629942;178.1846
HMDB31055;(Z)-10-Hydroxy-8-decene-4,6-diynoic acid;C10H10O3;178.0629942;178.1846
HMDB33248;Di-alpha-furfuryl ether;C10H10O3;178.0629942;178.1846
HMDB38712;(S)-Isosclerone;C10H10O3;178.0629942;178.1846
HMDB38965;(E)-10-Hydroxy-2-decene-4,6-diynoic acid;C10H10O3;178.0629942;178.1846
HMDB39471;3-(4-Hydroxy-2-methoxyphenyl)-2-propenal;C10H10O3;178.0629942;178.1846
HMDB00954;trans-Ferulic acid;C10H10O4;194.0579088;194.184
HMDB00955;Isoferulic acid;C10H10O4;194.0579088;194.184
HMDB02120;Monoethyl phthalate;C10H10O4;194.0579088;194.184
HMDB29663;Vanillin acetate;C10H10O4;194.0579088;194.184
HMDB30765;(-)-trans-3,4-Dihydro-4,8-dihydroxy-3-methyl-1H-2-benzopyran-1-one;C10H10O4;194.0579088;194.184
HMDB32614;Piperonyl acetate;C10H10O4;194.0579088;194.184
HMDB32652;Meconine;C10H10O4;194.0579088;194.184
HMDB37644;3-(2-Hydroxy-3-methoxyphenyl)-2-propenoic acid;C10H10O4;194.0579088;194.184
HMDB39606;Repandiol;C10H10O4;194.0579088;194.184
HMDB59721;mono-Benzyl malonate;C10H10O4;194.0579088;194.184
HMDB11714;Vanilpyruvic acid;C10H10O5;210.0528234;210.1834
HMDB35484;3-(3,4-Dihydroxy-5-methoxy)-2-propenoic acid;C10H10O5;210.0528234;210.1834
HMDB12199;Chorismate;C10H10O6;226.0477381;226.1828
HMDB12283;Prephenate;C10H10O6;226.0477381;226.1828
HMDB33842;3,4-Dimethoxy-1,2-benzenedicarboxylic acid;C10H10O6;226.0477381;226.1828
HMDB33893;4,5-Dimethoxy-1,2-benzenedicarboxylic acid;C10H10O6;226.0477381;226.1828
HMDB29200;Ferulic acid 4-sulfate;C10H10O7S;274.0147234;274.247
HMDB41748;Isoferulic acid 3-sulfate;C10H10O7S;274.0147234;274.247
HMDB32982;2,2'-Dithenyl sulfide;C10H10S3;225.9944624;226.381
HMDB14769;Clofarabine;C10H11ClFN5O3;303.0534452;303.677
HMDB14576;Trifluridine;C10H11F3N2O5;296.0620061;296.1999
HMDB32967;2,4-Dimethyl-1H-indole;C10H11N;145.0891494;145.201
HMDB15150;Sulfamethoxazole;C10H11N3O3S;253.0521119;253.278
HMDB13852;Sulfamethoxazole N4-hydroxylamine;C10H11N3O4S;269.0470265;269.277
HMDB60529;5-Hydroxysulfamethoxazole;C10H11N3O4S;269.0470265;269.277
HMDB60985;sulfamethoxazole hydroxylamine;C10H11N3O4S;269.0470265;269.277
HMDB11680;Inosine 2',3'-cyclic phosphate ;C10H11N4O7P;330.0365352;330.1907
HMDB11683;Molybdopterin precursor Z;C10H11N5O7P;344.0396092;344.1974
HMDB03447;Tryptophanol;C10H11NO;161.084064;161.2004
HMDB30267;(R)-Boschniakine;C10H11NO;161.084064;161.2004
HMDB40028;1-(2,3-Dihydro-1H-pyrrolizin-5-yl)-2-propen-1-one;C10H11NO;161.084064;161.2004
HMDB40042;3-[(5-Methyl-2-furanyl)methyl]-1H-pyrrole;C10H11NO;161.084064;161.2004
HMDB40048;3,4-Dihydro-4-[(5-methyl-2-furanyl)methylene]-2H-pyrrole;C10H11NO;161.084064;161.2004
HMDB01855;5-Hydroxytryptophol;C10H11NO2;177.0789786;177.1998
HMDB12490;1,2-Dehydrosalsolinol;C10H11NO2;177.0789786;177.1998
HMDB33482;Plantagonine;C10H11NO2;177.0789786;177.1998
HMDB37693;2-Propenyl 2-aminobenzoate;C10H11NO2;177.0789786;177.1998
HMDB40045;5-[2H-Pyrrol-4-(3H)-ylidenemethyl]-2-furanmethanol;C10H11NO2;177.0789786;177.1998
HMDB60063;N,N-dimethylindoliumolate;C10H11NO2;177.0789786;177.1998
HMDB00821;Phenylacetylglycine;C10H11NO3;193.0738932;193.1992
HMDB00859;Methylhippuric acid;C10H11NO3;193.0738932;193.1992
HMDB11723;2-Methylhippuric acid;C10H11NO3;193.0738932;193.1992
HMDB13245;m-Methylhippuric acid;C10H11NO3;193.0738932;193.1992
HMDB13292;p-Methylhippuric acid;C10H11NO3;193.0738932;193.1992
HMDB32388;Methyl n-acetylanthranilate;C10H11NO3;193.0738932;193.1992
HMDB34250;Betamipron;C10H11NO3;193.0738932;193.1992
HMDB60366;3-Carbamoyl-2-phenylpropionaldehyde;C10H11NO3;193.0738932;193.1992
HMDB60389;4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one;C10H11NO3;193.0738932;193.1992
HMDB60758;4-Anilino-4-oxobutanoic acid;C10H11NO3;193.0738932;193.1992
HMDB00735;Hydroxyphenylacetylglycine;C10H11NO4;209.0688078;209.1986
HMDB60367;3-Carbamoyl-2-phenylpropionic acid;C10H11NO4;209.0688078;209.1986
HMDB15492;Stepronin;C10H11NO4S2;273.0129492;273.329
HMDB37264;2-Hydroxy-4,7-dimethoxy-2H-1,4-benzoxazin-3(4H)-one;C10H11NO5;225.0637225;225.198
HMDB60026;Vanilloylglycine;C10H11NO5;225.0637225;225.198
HMDB37548;2,4-Dihydroxy-6,7-dimethoxy-2H-1,4-benzoxazin-3(4H)-one;C10H11NO6;241.0586371;241.1974
HMDB37549;2,4-Dihydroxy-7,8-dimethoxy-2H-1,4-benzoxazin-3(4H)-one;C10H11NO6;241.0586371;241.1974
HMDB38444;1-Isothiocyanato-3-phenylpropane;C10H11NS;177.06122;177.266
HMDB29641;p-Mentha-1,3,5,8-tetraene;C10H12;132.0939004;132.2023
HMDB61069;clofarabind-5'-monophosphate;C10H12ClFN5O6P;383.0197756;383.657
HMDB15420;Quinethazone;C10H12ClN3O3S;289.0287897;289.739
HMDB14387;Cladribine;C10H12ClN5O3;285.062867;285.687
HMDB14327;Baclofen;C10H12ClNO2;213.0556563;213.661
HMDB12261;Molybdenum cofactor (sulfide);C10H12MoN5O7PS3;538.8690542;537.34
HMDB02206;Molybdopterin;C10H12MoN5O8PS2;522.8918981;521.27
HMDB00303;Tryptamine;C10H12N2;160.1000484;160.2157
HMDB04476;Anatabine;C10H12N2;160.1000484;160.2157
HMDB14935;Tolazoline;C10H12N2;160.1000484;160.2157
HMDB38456;N-Norgramine;C10H12N2;160.1000484;160.2157
HMDB60064;Tryptaminium;C10H12N2;160.1000484;160.2157
HMDB00259;Serotonin;C10H12N2O;176.094963;176.2151
HMDB01046;Cotinine;C10H12N2O;176.094963;176.2151
HMDB01004;Oxoamide;C10H12N2O2;192.0898776;192.2145
HMDB01324;N'-Hydroxymethylnorcotinine;C10H12N2O2;192.0898776;192.2145
HMDB01390;Hydroxycotinine;C10H12N2O2;192.0898776;192.2145
HMDB01411;Cotinine N-oxide;C10H12N2O2;192.0898776;192.2145
HMDB01427;5'-Hydroxycotinine;C10H12N2O2;192.0898776;192.2145
HMDB00684;L-Kynurenine;C10H12N2O3;208.0847923;208.2139
HMDB12948;Formyl-5-hydroxykynurenamine;C10H12N2O3;208.0847923;208.2139
HMDB60757;4-Aminobenzoyl-(beta)-alanine;C10H12N2O3;208.0847923;208.2139
HMDB00732;Hydroxykynurenine;C10H12N2O4;224.0797069;224.2133
HMDB11631;L-3-Hydroxykynurenine;C10H12N2O4;224.0797069;224.2133
HMDB12819;5-Hydroxykynurenine;C10H12N2O4;224.0797069;224.2133
HMDB14787;Stavudine;C10H12N2O4;224.0797069;224.2133
HMDB29397;L-Nicotianine;C10H12N2O4;224.0797069;224.2133
HMDB32559;2-(1-Methylpropyl)-4,6-dinitrophenol;C10H12N2O5;240.0746215;240.2127
HMDB60774;5-Carboxy-2'-deoxyuridine;C10H12N2O7;272.0644507;272.2115
HMDB00788;Orotidine;C10H12N2O8;288.0593654;288.2109
HMDB60724;2,4-Diamino-6,7-dimethoxyquinazoline;C10H12N4O2;220.0960256;220.2279
HMDB15037;Didanosine;C10H12N4O3;236.0909403;236.2273
HMDB00071;Deoxyinosine;C10H12N4O4;252.0858549;252.2267
HMDB29956;Nebularine;C10H12N4O4;252.0858549;252.2267
HMDB60791;6-Thioinosinic acid;C10H12N4O4S;284.0579256;284.292
HMDB00195;Inosine;C10H12N4O5;268.0807695;268.2261
HMDB00481;Allopurinol riboside;C10H12N4O5;268.0807695;268.2261
HMDB03040;Arabinosylhypoxanthine;C10H12N4O5;268.0807695;268.2261
HMDB15544;Tazobactam;C10H12N4O5S;300.0528402;300.291
HMDB00299;Xanthosine;C10H12N4O6;284.0756841;284.2255
HMDB29920;beta-D-3-Ribofuranosyluric acid;C10H12N4O7;300.0705988;300.2249
HMDB00058;Cyclic AMP;C10H12N5O6P;329.0525197;329.2059
HMDB11616;Adenosine 2',3'-cyclic phosphate;C10H12N5O6P;329.0525197;329.2059
HMDB01314;Cyclic GMP;C10H12N5O7P;345.0474343;345.2053
HMDB11629;Guanosine 2',3'-cyclic phosphate ;C10H12N5O7P;345.0474343;345.2053
HMDB02214;Cuminaldehyde;C10H12O;148.088815;148.2017
HMDB30837;Anethole;C10H12O;148.088815;148.2017
HMDB31616;4-Phenyl-3-buten-2-ol;C10H12O;148.088815;148.2017
HMDB32014;2,3,6-Trimethylbenzaldehyde;C10H12O;148.088815;148.2017
HMDB32015;Duryl aldehyde;C10H12O;148.088815;148.2017
HMDB32016;2,4,6-Trimethylbenzaldehyde;C10H12O;148.088815;148.2017
HMDB32017;3,4,5-Trimethylbenzaldehyde;C10H12O;148.088815;148.2017
HMDB32140;2',4'-Dimethylacetophenone;C10H12O;148.088815;148.2017
HMDB33382;2-(4-Methylphenyl)propanal;C10H12O;148.088815;148.2017
HMDB34121;1-Methoxy-4-(2-propenyl)benzene;C10H12O;148.088815;148.2017
HMDB59845;p-Ethylacetophenone;C10H12O;148.088815;148.2017
HMDB00329;2-Phenylbutyric acid;C10H12O2;164.0837296;164.2011
HMDB00543;Benzenebutanoic acid;C10H12O2;164.0837296;164.2011
HMDB01955;3-Phenylbutyric acid;C10H12O2;164.0837296;164.2011
HMDB05802;Isoeugenol;C10H12O2;164.0837296;164.2011
HMDB05809;Eugenol;C10H12O2;164.0837296;164.2011
HMDB30060;Methyl 3-phenylpropanoate;C10H12O2;164.0837296;164.2011
HMDB30063;Benzyl propionate;C10H12O2;164.0837296;164.2011
HMDB31761;Propyl benzoate;C10H12O2;164.0837296;164.2011
HMDB32038;Isopropyl benzoate;C10H12O2;164.0837296;164.2011
HMDB32336;3-Hydroxy-4-phenylbutan-2-one;C10H12O2;164.0837296;164.2011
HMDB32586;3-(4-Methoxyphenyl)-2-propen-1-ol;C10H12O2;164.0837296;164.2011
HMDB32618;Ethyl phenylacetate;C10H12O2;164.0837296;164.2011
HMDB32620;1-Phenylethyl acetate;C10H12O2;164.0837296;164.2011
HMDB32891;1-(4-Methoxyphenyl)-2-propanone;C10H12O2;164.0837296;164.2011
HMDB33723;4-(4-Hydroxyphenyl)-2-butanone;C10H12O2;164.0837296;164.2011
HMDB33945;2-Phenylethyl acetate;C10H12O2;164.0837296;164.2011
HMDB34471;3-Phenylpropyl formate;C10H12O2;164.0837296;164.2011
HMDB34615;Epoxyanethole;C10H12O2;164.0837296;164.2011
HMDB34732;Thymoquinone;C10H12O2;164.0837296;164.2011
HMDB35213;beta-Thujaplicin;C10H12O2;164.0837296;164.2011
HMDB35268;4-Isopropylbenzoic acid;C10H12O2;164.0837296;164.2011
HMDB35414;Lepalone;C10H12O2;164.0837296;164.2011
HMDB36098;Isoegomaketone;C10H12O2;164.0837296;164.2011
HMDB37160;4-Methyl-2-phenyl-1,3-dioxolane;C10H12O2;164.0837296;164.2011
HMDB37174;p-Mentha-2,4(8)-dien-9,3-olide;C10H12O2;164.0837296;164.2011
HMDB38184;Egomaketone;C10H12O2;164.0837296;164.2011
HMDB40359;1,2-Dimethoxy-4-vinylbenzene;C10H12O2;164.0837296;164.2011
HMDB40460;4-Methylbenzyl alcohol acetate;C10H12O2;164.0837296;164.2011
HMDB41472;2-Methylbenzyl alcohol acetate;C10H12O2;164.0837296;164.2011
HMDB41473;(3-Methylphenyl)methyl acetate;C10H12O2;164.0837296;164.2011
HMDB41612;Phenyl butyrate;C10H12O2;164.0837296;164.2011
HMDB11751;3-Methoxybenzenepropanoic acid;C10H12O3;180.0786443;180.2005
HMDB12915;Coniferyl alcohol;C10H12O3;180.0786443;180.2005
HMDB29685;4-Ethoxy-3-methoxybenzaldehyde;C10H12O3;180.0786443;180.2005
HMDB31240;2-Phenyl-1,3-dioxolane-4-methanol;C10H12O3;180.0786443;180.2005
HMDB32128;1-(2,4-Dihydroxyphenyl)-1-butanone;C10H12O3;180.0786443;180.2005
HMDB32174;Benzaldehyde glyceryl acetal;C10H12O3;180.0786443;180.2005
HMDB32574;Propylparaben;C10H12O3;180.0786443;180.2005
HMDB32640;Ethyl p-anisate;C10H12O3;180.0786443;180.2005
HMDB33761;4-Methoxybenzyl acetate;C10H12O3;180.0786443;180.2005
HMDB37602;4-Hydroxy-2,6,6-trimethyl-3-oxo-1,4-cyclohexadiene-1-carboxaldehyde;C10H12O3;180.0786443;180.2005
HMDB37733;Propyl 2-furanacrylate;C10H12O3;180.0786443;180.2005
HMDB60734;3-(3-Hydroxyphenyl)-2-methylpropionic acid;C10H12O3;180.0786443;180.2005
HMDB00434;Homoveratric acid;C10H12O4;196.0735589;196.1999
HMDB29645;Xanthoxylin;C10H12O4;196.0735589;196.1999
HMDB29648;2,4,5-Trimethoxybenzaldehyde;C10H12O4;196.0735589;196.1999
HMDB30571;(+)-3-(3,4-Methylenedioxyphenyl)-1,2-propanediol;C10H12O4;196.0735589;196.1999
HMDB32365;Maltyl isobutyrate;C10H12O4;196.0735589;196.1999
HMDB35721;(S)-Batatic acid;C10H12O4;196.0735589;196.1999
HMDB37177;1-(2,4,5-Trihydroxyphenyl)-1-butanone;C10H12O4;196.0735589;196.1999
HMDB39427;2-Hydroxy-3-(4-methoxyphenyl)propanoic acid;C10H12O4;196.0735589;196.1999
HMDB40256;(S)-2-(4-Methoxyphenoxy)propanoic acid;C10H12O4;196.0735589;196.1999
HMDB40637;4-Hydroxy-6-methyl-3-(1-oxobutyl)-2H-pyran-2-one;C10H12O4;196.0735589;196.1999
HMDB60398;5-Hydroxyconiferyl alcohol;C10H12O4;196.0735589;196.1999
HMDB60733;3-(3-Hydroxyphenyl)-2-methyllactic acid;C10H12O4;196.0735589;196.1999
HMDB60735;3-(3,4-Dihydroxyphenyl)-2-methylpropionic acid;C10H12O4;196.0735589;196.1999
HMDB00913;Vanillactic acid;C10H12O5;212.0684735;212.1993
HMDB31704;Danielone;C10H12O5;212.0684735;212.1993
HMDB33835;Propyl gallate;C10H12O5;212.0684735;212.1993
HMDB33839;Eudesmic acid;C10H12O5;212.0684735;212.1993
HMDB34493;Valtrate;C10H12O5;212.0684735;212.1993
HMDB41286;2,3-Dihydroxy-1-(4-hydroxy-3-methoxyphenyl)-1-propanone;C10H12O5;212.0684735;212.1993
HMDB41661;3,4-Dihydroxyphenyllactic acid methyl ester;C10H12O5;212.0684735;212.1993
HMDB41663;3-(3,4-Dihydroxyphenyl)-2-methoxypropionic acid;C10H12O5;212.0684735;212.1993
HMDB41665;3-Hydroxy-4-methoxyphenyllactic acid;C10H12O5;212.0684735;212.1993
HMDB60557;beta-(2-Methoxyphenoxy)-lactic acid;C10H12O5;212.0684735;212.1993
HMDB59983;4-phenylbutanic acid-O-sulphate;C10H12O5S;244.0405442;244.264
HMDB39177;1-O-Galloylglycerol;C10H12O7;244.0583027;244.1981
HMDB41724;Dihydroferulic acid 4-sulfate;C10H12O7S;276.0303734;276.263
HMDB61008;m-chlorophenylpiperazine (m-CPP);C10H13ClN2;196.0767261;196.677
HMDB14810;Chlorpropamide;C10H13ClN2O3S;276.0335407;276.74
HMDB14024;2-Hydroxychlorpropamide;C10H13ClN2O4S;292.0284553;292.739
HMDB14025;3-Hydroxychlorpropamide;C10H13ClN2O4S;292.0284553;292.739
HMDB34633;3-Chloro-1-(4-hydroxy-3-methoxyphenyl)-1,2-propanediol;C10H13ClO4;232.0502366;232.661
HMDB15206;Fludarabine;C10H13FN5O7P;365.0536625;365.2117
HMDB29709;5,6,7,8-Tetrahydro-4-methylquinoline;C10H13N;147.1047994;147.2169
HMDB30346;(S)-Actinidine;C10H13N;147.1047994;147.2169
HMDB01010;Nicotine imine;C10H13N2;161.1078734;161.2236
HMDB00218;Orotidylic acid;C10H13N2O11P;368.0256958;368.1908
HMDB01570;Thymidine 3',5'-cyclic monophosphate;C10H13N2O7P;304.0460373;304.1932
HMDB06543;Debrisoquine;C10H13N3;175.1109474;175.2303
HMDB06468;4-Hydroxydebrisoquine;C10H13N3O;191.1058621;191.2297
HMDB41939;N'-nitrosoanabasine;C10H13N3O;191.1058621;191.2297
HMDB11603;4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone ;C10H13N3O2;207.1007767;207.2291
HMDB06555;dIMP;C10H13N4O7P;332.0521853;332.2066
HMDB60416;6-Thioinosine-5'-monophosphate;C10H13N4O7PS;364.024256;364.272
HMDB00175;Inosinic acid;C10H13N4O8P;348.0470999;348.206
HMDB11681;Inosine 2'-phosphate;C10H13N4O8P;348.0470999;348.206
HMDB60418;6-Thioxanthine 5'-monophosphate;C10H13N4O8PS;380.0191706;380.271
HMDB60792;6-Thioxanthylic acid;C10H13N4O8PS;380.0191706;380.271
HMDB01554;Xanthylic acid;C10H13N4O9P;364.0420145;364.2054
HMDB12204;Cis-zeatin;C10H13N5O;219.1120101;219.2431
HMDB00101;Deoxyadenosine;C10H13N5O3;251.1018393;251.2419
HMDB01983;5'-Deoxyadenosine;C10H13N5O3;251.1018393;251.2419
HMDB00050;Adenosine;C10H13N5O4;267.0967539;267.2413
HMDB00085;Deoxyguanosine;C10H13N5O4;267.0967539;267.2413
HMDB14340;Vidarabine;C10H13N5O4;267.0967539;267.2413
HMDB14638;Zidovudine;C10H13N5O4;267.0967539;267.2413
HMDB00133;Guanosine;C10H13N5O5;283.0916686;283.2407
HMDB03333;8-Hydroxy-deoxyguanosine;C10H13N5O5;283.0916686;283.2407
HMDB02044;8-Hydroxyguanosine;C10H13N5O6;299.0865832;299.2401
HMDB39661;2,3,6,7-Tetrahydro-7-methylcyclopent[b]azepin-8(1H)-one;C10H13NO;163.099714;163.2163
HMDB40015;2,3,4,5-Tetrahydro-6-(5-methyl-2-furanyl)pyridine;C10H13NO;163.099714;163.2163
HMDB40022;2,3-Dihydro-5-propanoyl-1H-pyrrolizine;C10H13NO;163.099714;163.2163
