# ID will be use to load map from url
# subsystem must be a valid name in the subsystem table
# filename must be a .svg with only [a-zA-Z0-9_] characters

#NAME_ID	subsystem name	name	filename
cholesterol_metabolism	Cholesterol metabolism	Cholesterol metabolism	cholesterol_metabolism.svg
transport_golgi_apparatus	Transport, Golgi apparatus	Transport, Golgi apparatus	transport_golgi_apparatus.svg
glycerolipid_metabolism	Glycerolipid metabolism	Glycerolipid metabolism	glycerolipid_metabolism.svg
carnitine_shuttle_peroxisomal	Carnitine shuttle (peroxisomal)	Carnitine shuttle (peroxisomal)	carnitine_shuttle_peroxisomal.svg
estrogen_metabolism	Estrogen metabolism	Estrogen metabolism	estrogen_metabolism.svg
transport_lysosome_to_er	Transport, lysosome to ER	Transport, lysosome to ER	transport_lysosome_to_er.svg
arachidonic_acid_metabolism	Arachidonic acid metabolism	Arachidonic acid metabolism	arachidonic_acid_metabolism.svg
fatty_acid_biosynthesis_even_chain	Fatty acid biosynthesis (even-chain)	Fatty acid biosynthesis (even-chain)	fatty_acid_biosynthesis_even_chain.svg
fatty_acid_activation_endoplasmic_reticular	Fatty acid activation (endoplasmic reticular)	Fatty acid activation (endoplasmic reticular)	fatty_acid_activation_endoplasmic_reticular.svg
fatty_acid_biosynthesis_odd_chain	Fatty acid biosynthesis (odd-chain)	Fatty acid biosynthesis (odd-chain)	fatty_acid_biosynthesis_odd_chain.svg
fatty_acid_biosynthesis_unsaturated	Fatty acid biosynthesis (unsaturated)	Fatty acid biosynthesis (unsaturated)	fatty_acid_biosynthesis_unsaturated.svg
fatty_acid_desaturation_even_chain	Fatty acid desaturation (even-chain)	Fatty acid desaturation (even-chain)	fatty_acid_desaturation_even_chain.svg
carnitine_shuttle_endoplasmic_reticular	Carnitine shuttle (endoplasmic reticular)	Carnitine shuttle (endoplasmic reticular)	carnitine_shuttle_endoplasmic_reticular.svg
fatty_acid_desaturation_odd_chain	Fatty acid desaturation (odd-chain)	Fatty acid desaturation (odd-chain)	fatty_acid_desaturation_odd_chain.svg
fatty_acid_elongation_even_chain	Fatty acid elongation (even-chain)	Fatty acid elongation (even-chain)	fatty_acid_elongation_even_chain.svg
fatty_acid_elongation_odd_chain	Fatty acid elongation (odd-chain)	Fatty acid elongation (odd-chain)	fatty_acid_elongation_odd_chain.svg
fatty_acid_transfer_reactions	Fatty acid transfer reactions	Fatty acid transfer reactions	fatty_acid_transfer_reactions.svg
formation_and_hydrolysis_of_cholesterol_esters	Formation and hydrolysis of cholesterol esters	Formation and hydrolysis of cholesterol esters	formation_and_hydrolysis_of_cholesterol_esters.svg
fructose_and_mannose_metabolism	Fructose and mannose metabolism	Fructose and mannose metabolism	fructose_and_mannose_metabolism.svg
keratan_sulfate_degradation	Keratan sulfate degradation	Keratan sulfate degradation	keratan_sulfate_degradation.svg
lipoic_acid_metabolism	Lipoic acid metabolism	Lipoic acid metabolism	lipoic_acid_metabolism.svg
lysine_metabolism	Lysine metabolism	Lysine metabolism	lysine_metabolism.svg
metabolism_of_xenobiotics_by_cytochrome_p450	Metabolism of xenobiotics by cytochrome P450	Metabolism of xenobiotics by cytochrome P450	metabolism_of_xenobiotics_by_cytochrome_p450.svg
nitrogen_metabolism	Nitrogen metabolism	Nitrogen metabolism	nitrogen_metabolism.svg
nucleotide_metabolism	Nucleotide metabolism	Nucleotide metabolism	nucleotide_metabolism.svg
o_glycan_metabolism	O-glycan metabolism	O-glycan metabolism	o_glycan_metabolism.svg
oxidative_phosphorylation	Oxidative phosphorylation	Oxidative phosphorylation	oxidative_phosphorylation.svg
pantothenate_and_coa_biosynthesis	Pantothenate and CoA biosynthesis	Pantothenate and CoA biosynthesis	pantothenate_and_coa_biosynthesis.svg
pentose_and_glucuronate_interconversions	Pentose and glucuronate interconversions	Pentose and glucuronate interconversions	pentose_and_glucuronate_interconversions.svg
pentose_phosphate_pathway	Pentose phosphate pathway	Pentose phosphate pathway	pentose_phosphate_pathway.svg
phenylalanine_tyrosine_and_tryptophan_biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	phenylalanine_tyrosine_and_tryptophan_biosynthesis.svg
porphyrin_metabolism	Porphyrin metabolism	Porphyrin metabolism	porphyrin_metabolism.svg
protein_assembly	Protein assembly	Protein assembly	protein_assembly.svg
protein_degradation	Protein degradation	Protein degradation	protein_degradation.svg
protein_modification	Protein modification	Protein modification	protein_modification.svg
purine_metabolism	Purine metabolism	Purine metabolism	purine_metabolism.svg
pyrimidine_metabolism	Pyrimidine metabolism	Pyrimidine metabolism	pyrimidine_metabolism.svg
ros_detoxification	ROS detoxification	ROS detoxification	ros_detoxification.svg
retinol_metabolism	Retinol metabolism	Retinol metabolism	retinol_metabolism.svg
serotonin_and_melatonin_biosynthesis	Serotonin and melatonin biosynthesis	Serotonin and melatonin biosynthesis	serotonin_and_melatonin_biosynthesis.svg
starch_and_sucrose_metabolism	Starch and sucrose metabolism	Starch and sucrose metabolism	starch_and_sucrose_metabolism.svg
thiamine_metabolism	Thiamine metabolism	Thiamine metabolism	thiamine_metabolism.svg
vitamin_b12_metabolism	Vitamin B12 metabolism	Vitamin B12 metabolism	vitamin_b12_metabolism.svg
vitamin_e_metabolism	Vitamin E metabolism	Vitamin E metabolism	vitamin_e_metabolism.svg
ascorbate_and_aldarate_metabolism	Ascorbate and aldarate metabolism	Ascorbate and aldarate metabolism	ascorbate_and_aldarate_metabolism.svg
beta_alanine_metabolism	beta-Alanine metabolism	beta-Alanine metabolism	beta_alanine_metabolism.svg
aminoacyl_trna_biosynthesis	Aminoacyl-tRNA biosynthesis	Aminoacyl-tRNA biosynthesis	aminoacyl_trna_biosynthesis.svg
arginine_and_proline_metabolism	Arginine and proline metabolism	Arginine and proline metabolism	arginine_and_proline_metabolism.svg
blood_group_biosynthesis	Blood group biosynthesis	Blood group biosynthesis	blood_group_biosynthesis.svg
c5_branched_dibasic_acid_metabolism	C5-branched dibasic acid metabolism	C5-branched dibasic acid metabolism	c5_branched_dibasic_acid_metabolism.svg
biotin_metabolism	Biotin metabolism	Biotin metabolism	biotin_metabolism.svg
beta_oxidation_of_di_unsaturated_fatty_acids_n_6_peroxisomal	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	Beta oxidation of di-unsaturated fatty acids (n-6) (peroxisomal)	beta_oxidation_of_di_unsaturated_fatty_acids_n_6_peroxisomal.svg
amino_sugar_and_nucleotide_sugar_metabolism	Amino sugar and nucleotide sugar metabolism	Amino sugar and nucleotide sugar metabolism	amino_sugar_and_nucleotide_sugar_metabolism.svg
chondroitin_heparan_sulfate_biosynthesis	Chondroitin / heparan sulfate biosynthesis	Chondroitin / heparan sulfate biosynthesis	chondroitin_heparan_sulfate_biosynthesis.svg
cysteine_and_methionine_metabolism	Cysteine and methionine metabolism	Cysteine and methionine metabolism	cysteine_and_methionine_metabolism.svg
eicosanoid_metabolism	Eicosanoid metabolism	Eicosanoid metabolism	eicosanoid_metabolism.svg
exchange_reactions	Exchange reactions	Exchange reactions	exchange_reactions.svg
miscellaneous	Miscellaneous	Miscellaneous	miscellaneous.svg
folate_metabolism	Folate metabolism	Folate metabolism	folate_metabolism.svg
galactose_metabolism	Galactose metabolism	Galactose metabolism	galactose_metabolism.svg
glutathione_metabolism	Glutathione metabolism	Glutathione metabolism	glutathione_metabolism.svg
transport_golgi_to_extracellular	Transport, Golgi to extracellular	Transport, Golgi to extracellular	transport_golgi_to_extracellular.svg
transport_lysosome_to_cytosol	Transport, lysosome to cytosol	Transport, lysosome to cytosol	transport_lysosome_to_cytosol.svg
glycolysis_gluconeogenesis	Glycolysis / Gluconeogenesis	Glycolysis / Gluconeogenesis	glycolysis_gluconeogenesis.svg
glycosylphosphatidylinositol_gpi_anchor_biosynthesis	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	glycosylphosphatidylinositol_gpi_anchor_biosynthesis.svg
heparan_sulfate_degradation	Heparan sulfate degradation	Heparan sulfate degradation	heparan_sulfate_degradation.svg
histidine_metabolism	Histidine metabolism	Histidine metabolism	histidine_metabolism.svg
keratan_sulfate_biosynthesis	Keratan sulfate biosynthesis	Keratan sulfate biosynthesis	keratan_sulfate_biosynthesis.svg
transport_nuclear	Transport, nuclear	Transport, nuclear	transport_nuclear.svg
riboflavin_metabolism	Riboflavin metabolism	Riboflavin metabolism	riboflavin_metabolism.svg
carnitine_shuttle_cytosolic	Carnitine shuttle (cytosolic)	Carnitine shuttle (cytosolic)	carnitine_shuttle_cytosolic.svg
linoleate_metabolism	Linoleate metabolism	Linoleate metabolism	linoleate_metabolism.svg
tricarboxylic_acid_cycle_and_glyoxylate_dicarboxylate_metabolism	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	tricarboxylic_acid_cycle_and_glyoxylate_dicarboxylate_metabolism.svg
fatty_acid_activation_cytosolic	Fatty acid activation (cytosolic)	Fatty acid activation (cytosolic)	fatty_acid_activation_cytosolic.svg
biopterin_metabolism	Biopterin metabolism	Biopterin metabolism	biopterin_metabolism.svg
tyrosine_metabolism	Tyrosine metabolism	Tyrosine metabolism	tyrosine_metabolism.svg
cholesterol_biosynthesis_1_bloch_pathway	Cholesterol biosynthesis 1 (Bloch pathway)	Cholesterol biosynthesis 1 (Bloch pathway)	cholesterol_biosynthesis_1_bloch_pathway.svg
glycosphingolipid_biosynthesis_globo_series	Glycosphingolipid biosynthesis-globo series	Glycosphingolipid biosynthesis-globo series	glycosphingolipid_biosynthesis_globo_series.svg
artificial_reactions	Artificial reactions	Artificial reactions	artificial_reactions.svg
transport_golgi_to_lysosome	Transport, Golgi to lysosome	Transport, Golgi to lysosome	transport_golgi_to_lysosome.svg
valine_leucine_and_isoleucine_metabolism	Valine, leucine, and isoleucine metabolism	Valine, leucine, and isoleucine metabolism	valine_leucine_and_isoleucine_metabolism.svg
transport_endoplasmic_reticular	Transport, endoplasmic reticular	Transport, endoplasmic reticular	transport_endoplasmic_reticular.svg
transport_extracellular	Transport, extracellular	Transport, extracellular	transport_extracellular.svg
transport_peroxisomal	Transport, peroxisomal	Transport, peroxisomal	transport_peroxisomal.svg
chondroitin_sulfate_degradation	Chondroitin sulfate degradation	Chondroitin sulfate degradation	chondroitin_sulfate_degradation.svg
glycine_serine_and_threonine_metabolism	Glycine, serine and threonine metabolism	Glycine, serine and threonine metabolism	glycine_serine_and_threonine_metabolism.svg
isolated	Isolated	Isolated	isolated.svg
other_amino_acid	Other amino acid	Other amino acid	other_amino_acid.svg
sphingolipid_metabolism	Sphingolipid metabolism	Sphingolipid metabolism	sphingolipid_metabolism.svg
beta_oxidation_of_unsaturated_fatty_acids_n_9_peroxisomal	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	Beta oxidation of unsaturated fatty acids (n-9) (peroxisomal)	beta_oxidation_of_unsaturated_fatty_acids_n_9_peroxisomal.svg
vitamin_b6_metabolism	Vitamin B6 metabolism	Vitamin B6 metabolism	vitamin_b6_metabolism.svg
acyl_coa_hydrolysis	Acyl-CoA hydrolysis	Acyl-CoA hydrolysis	acyl_coa_hydrolysis.svg
inositol_phosphate_metabolism	Inositol phosphate metabolism	Inositol phosphate metabolism	inositol_phosphate_metabolism.svg
propanoate_metabolism	Propanoate metabolism	Propanoate metabolism	propanoate_metabolism.svg
nicotinate_and_nicotinamide_metabolism	Nicotinate and nicotinamide metabolism	Nicotinate and nicotinamide metabolism	nicotinate_and_nicotinamide_metabolism.svg
prostaglandin_biosynthesis	prostaglandin biosynthesis	prostaglandin biosynthesis	prostaglandin_biosynthesis.svg
acylglycerides_metabolism	Acylglycerides metabolism	Acylglycerides metabolism	acylglycerides_metabolism.svg
alanine_aspartate_and_glutamate_metabolism	Alanine, aspartate and glutamate metabolism	Alanine, aspartate and glutamate metabolism	alanine_aspartate_and_glutamate_metabolism.svg
androgen_metabolism	Androgen metabolism	Androgen metabolism	androgen_metabolism.svg
beta_oxidation_of_poly_unsaturated_fatty_acids_mitochondrial	Beta oxidation of poly-unsaturated fatty acids (mitochondrial)	Beta oxidation of poly-unsaturated fatty acids (mitochondrial)	beta_oxidation_of_poly_unsaturated_fatty_acids_mitochondrial.svg
cholesterol_biosynthesis_2	Cholesterol biosynthesis 2	Cholesterol biosynthesis 2	cholesterol_biosynthesis_2.svg
cholesterol_biosynthesis_3_kandustch_russell_pathway	Cholesterol biosynthesis 3  (Kandustch-Russell pathway)	Cholesterol biosynthesis 3  (Kandustch-Russell pathway)	cholesterol_biosynthesis_3_kandustch_russell_pathway.svg
sulfur_metabolism	Sulfur metabolism	Sulfur metabolism	sulfur_metabolism.svg
pool_reactions	Pool reactions	Pool reactions	pool_reactions.svg
carnitine_shuttle_mitochondrial	Carnitine shuttle (mitochondrial)	Carnitine shuttle (mitochondrial)	carnitine_shuttle_mitochondrial.svg
beta_oxidation_of_odd_chain_fatty_acids_peroxisomal	Beta oxidation of odd-chain fatty acids (peroxisomal)	Beta oxidation of odd-chain fatty acids (peroxisomal)	beta_oxidation_of_odd_chain_fatty_acids_peroxisomal.svg
transport_lysosomal	Transport, lysosomal	Transport, lysosomal	transport_lysosomal.svg
transport_mitochondrial	Transport, mitochondrial	Transport, mitochondrial	transport_mitochondrial.svg
