# the subsystem's name is the ID in the database
@ID	system	external_id	external_link	description
Protein modification	Other	external_id	external_link.com	sub description
Purine metabolism	Other metabolism	external_id	external_link.com	sub description
Pyrimidine metabolism	Amino Acid metabolism	external_id	external_link.com	sub description
Pyruvate metabolism	Other metabolism	external_id	external_link.com	sub description
ROS detoxification	Other	external_id	external_link.com	sub description
Retinol metabolism	Vitamin metabolism	external_id	external_link.com	sub description
Riboflavin metabolism	Vitamin metabolism	external_id	external_link.com	sub description
Serotonin and melatonin biosynthesis	Other	external_id	external_link.com	sub description
Sphingolipid metabolism	Other metabolism	external_id	external_link.com	sub description
Starch and sucrose metabolism	Other metabolism	external_id	external_link.com	sub description
Steroid metabolism	Other metabolism	external_id	external_link.com	sub description
Sulfur metabolism	Other metabolism	external_id	external_link.com	sub description
Terpenoid backbone biosynthesis	Other	external_id	external_link.com	sub description
Thiamine metabolism	Amino Acid metabolism	external_id	external_link.com	sub description
Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	Other metabolism	external_id	external_link.com	sub description
Tryptophan metabolism	Amino Acid metabolism	external_id	external_link.com	sub description
Tyrosine metabolism	Amino Acid metabolism	external_id	external_link.com	sub description
Valine, leucine, and isoleucine metabolism	Amino Acid metabolism	external_id	external_link.com	sub description
Vitamin B12 metabolism	Vitamin metabolism	external_id	external_link.com	sub description
Vitamin B6 metabolism	Vitamin metabolism	external_id	external_link.com	sub description
Vitamin D metabolism	Vitamin metabolism	external_id	external_link.com	sub description
Vitamin E metabolism	Vitamin metabolism	external_id	external_link.com	sub description
Artificial reactions	Collection of reactions	external_id	external_link.com	sub description
Isolated	Collection of reactions	external_id	external_link.com	sub description
Miscellaneous	Collection of reactions	external_id	external_link.com	sub description
Other amino acid	Collection of reactions	external_id	external_link.com	sub description
Pool reactions	Collection of reactions	external_id	external_link.com	sub description
Transport, Golgi apparatus	Collection of reactions	external_id	external_link.com	sub description
Transport, Golgi to extracellular	Collection of reactions	external_id	external_link.com	sub description
Transport, Golgi to lysosome	Collection of reactions	external_id	external_link.com	sub description
Transport, endoplasmic reticular	Collection of reactions	external_id	external_link.com	sub description
Transport, extracellular	Collection of reactions	external_id	external_link.com	sub description
Transport, lysosomal	Collection of reactions	external_id	external_link.com	sub description
Transport, lysosome to ER	Collection of reactions	external_id	external_link.com	sub description
Transport, lysosome to cytosol	Collection of reactions	external_id	external_link.com	sub description
Transport, mitochondrial	Collection of reactions	external_id	external_link.com	sub description
Transport, nuclear	Collection of reactions	external_id	external_link.com	sub description
Transport, peroxisomal	Collection of reactions	external_id	external_link.com	sub description
